season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2026,Precious Achiuwa,achiupr01,26.0,SAC,C,26,13.0,516.0,14.0,0.521,0.155,0.329,10.4,20.0,15.0,8.0,1.8,1.9,5.8,15.5,0.4,0.4,0.8,0.072,-1.4,-0.7,-2.2,0.0
2026,Steven Adams,adamsst01,32.0,HOU,C,25,7.0,542.0,16.4,0.541,0.0,0.573,23.2,21.0,22.1,8.0,1.6,2.4,16.4,12.6,0.9,0.7,1.7,0.148,0.4,-0.5,-0.1,0.3
2026,Bam Adebayo,adebaba01,28.0,MIA,C,25,25.0,774.0,16.9,0.561,0.31,0.336,5.4,26.1,15.9,11.3,1.5,2.5,10.6,23.4,0.4,1.4,1.7,0.108,0.1,1.1,1.2,0.6
2026,Santi Aldama,aldamsa01,25.0,MEM,PF,33,8.0,922.0,16.5,0.572,0.423,0.221,5.7,19.4,12.7,16.0,1.6,2.4,9.8,20.5,0.9,1.3,2.2,0.114,1.1,0.9,2.0,0.9
2026,Nickeil Alexander-Walker,alexani01,27.0,ATL,SG,33,26.0,1080.0,14.8,0.586,0.495,0.254,2.3,8.9,5.6,14.3,1.3,1.8,10.6,24.8,0.7,0.7,1.4,0.063,0.4,-1.7,-1.3,0.2
2026,Grayson Allen,allengr01,30.0,PHO,SG,18,18.0,559.0,15.2,0.584,0.638,0.194,1.8,8.2,4.9,19.1,2.6,0.7,11.0,21.1,0.8,0.6,1.4,0.118,0.8,0.2,1.0,0.4
2026,Jarrett Allen,allenja01,27.0,CLE,C,24,24.0,613.0,19.8,0.638,0.027,0.405,8.7,23.3,15.9,11.6,1.8,2.8,13.0,20.2,1.2,0.9,2.1,0.162,0.5,0.8,1.3,0.5
2026,Jose Alvarado,alvarjo01,27.0,NOP,PG,32,0.0,713.0,11.8,0.573,0.635,0.104,1.9,11.4,6.5,19.4,2.2,0.5,14.4,15.8,0.5,0.3,0.8,0.052,-1.4,-0.5,-1.9,0.0
2026,Giannis Antetokounmpo,antetgi01,31.0,MIL,PF,20,20.0,574.0,34.8,0.669,0.081,0.564,12.8,26.2,19.7,42.2,1.5,2.9,13.3,38.2,2.5,0.8,3.2,0.27,8.5,2.1,10.6,1.8
2026,OG Anunoby,anunoog01,28.0,NYK,PF,23,23.0,741.0,14.0,0.571,0.496,0.25,4.3,14.3,9.2,8.6,2.8,2.4,13.1,19.9,0.4,1.0,1.4,0.089,-0.8,0.5,-0.3,0.3
2026,Deni Avdija,avdijde01,25.0,POR,SF,34,34.0,1195.0,19.9,0.609,0.388,0.584,2.9,19.7,11.1,31.6,1.1,1.6,16.0,28.3,2.5,1.0,3.5,0.14,3.8,0.2,4.0,1.8
2026,Deandre Ayton,aytonde01,27.0,LAL,C,27,27.0,795.0,18.9,0.705,0.0,0.156,11.1,23.0,17.2,4.6,1.3,3.1,14.9,17.9,1.4,0.8,2.2,0.133,0.1,-1.1,-1.0,0.2
2026,Marvin Bagley III,baglema01,26.0,WAS,PF,27,7.0,533.0,20.3,0.663,0.079,0.35,13.4,15.6,14.5,13.2,1.2,3.3,11.7,18.2,1.4,0.2,1.6,0.145,1.9,-0.9,1.1,0.4
2026,Ace Bailey,baileac01,19.0,UTA,SF,30,21.0,715.0,10.0,0.529,0.448,0.107,6.4,8.5,7.5,9.4,1.4,1.5,11.2,19.0,-0.1,0.1,0.0,-0.003,-2.3,-2.2,-4.5,-0.4
